step,domain,patched_train_loss,baseline_train_loss,delta_vs_baseline
102,math,1.6213703155517578,1.6477349996566772,0.026364684104919434
103,wiki,3.5066215991973877,3.5392987728118896,0.03267717361450195
104,news,3.7931909561157227,3.978194236755371,0.18500328063964844
105,reviews,4.457529067993164,4.449628829956055,-0.007900238037109375
106,paper,4.725614547729492,5.113653182983398,0.38803863525390625
107,code,1.506227970123291,1.539607048034668,0.03337907791137695
108,math,2.378509998321533,2.4059536457061768,0.027443647384643555
109,wiki,3.8039026260375977,4.157644748687744,0.3537421226501465
110,news,4.474889278411865,4.81508207321167,0.3401927947998047
111,reviews,3.4806432723999023,3.503876209259033,0.02323293685913086
112,paper,3.596433162689209,3.994805097579956,0.39837193489074707
113,code,1.432213544845581,1.4898121356964111,0.05759859085083008
114,math,2.0012834072113037,2.045539379119873,0.044255971908569336
115,wiki,3.802030324935913,3.8268277645111084,0.024797439575195312
116,news,4.249178409576416,4.555500507354736,0.3063220977783203
117,reviews,3.5731446743011475,3.593684196472168,0.020539522171020508
118,paper,4.012689590454102,4.631264686584473,0.6185750961303711
119,code,1.416340708732605,1.4651943445205688,0.04885363578796387
120,math,2.0436723232269287,2.149592399597168,0.10592007637023926
121,wiki,3.638625383377075,3.659177303314209,0.02055191993713379
122,news,4.516036510467529,4.635293960571289,0.11925745010375977
123,reviews,3.796696186065674,3.7982287406921387,0.0015325546264648438
124,paper,3.167799472808838,3.404813051223755,0.237013578414917
125,code,1.7616478204727173,1.8665179014205933,0.10487008094787598
126,math,1.8734277486801147,1.9525314569473267,0.07910370826721191
127,wiki,3.5860283374786377,3.9387154579162598,0.35268712043762207
128,news,4.124489784240723,4.184981822967529,0.06049203872680664
129,reviews,3.8560376167297363,3.85870099067688,0.0026633739471435547
130,paper,3.6547131538391113,4.0722503662109375,0.41753721237182617
131,code,1.84276282787323,1.8963844776153564,0.053621649742126465
132,math,1.6261802911758423,1.7265342473983765,0.10035395622253418
133,wiki,3.024787425994873,3.066182851791382,0.04139542579650879
134,news,3.8848485946655273,3.9502687454223633,0.06542015075683594
135,reviews,3.6885554790496826,3.739164113998413,0.05060863494873047
136,paper,3.4920361042022705,3.9858593940734863,0.4938232898712158
137,code,2.1168951988220215,2.2343244552612305,0.11742925643920898
138,math,1.7038360834121704,1.7895128726959229,0.08567678928375244
139,wiki,3.1987240314483643,3.230959892272949,0.03223586082458496
140,news,4.4471540451049805,4.52424955368042,0.07709550857543945
141,reviews,3.692061185836792,3.7667627334594727,0.07470154762268066
142,paper,3.3065171241760254,3.680987596511841,0.37447047233581543
143,code,1.4521502256393433,1.5022141933441162,0.05006396770477295
144,math,1.4523999691009521,1.496137261390686,0.04373729228973389
145,wiki,3.1067206859588623,3.479362964630127,0.37264227867126465
146,news,3.197303533554077,3.3104820251464844,0.11317849159240723
147,reviews,3.3418400287628174,3.356691360473633,0.01485133171081543
148,paper,3.758014440536499,4.046592712402344,0.2885782718658447
149,code,2.107659339904785,2.247720718383789,0.1400613784790039
150,math,1.2738786935806274,1.3460698127746582,0.07219111919403076
151,wiki,3.681163787841797,3.8930649757385254,0.21190118789672852
152,news,3.856010913848877,4.007784366607666,0.15177345275878906
153,reviews,3.758563756942749,3.81302547454834,0.05446171760559082
154,paper,4.1550116539001465,4.553090572357178,0.39807891845703125
155,code,1.8648713827133179,2.0340120792388916,0.16914069652557373
156,math,2.044433355331421,2.113046646118164,0.06861329078674316
157,wiki,4.541536808013916,4.837899208068848,0.29636240005493164
158,news,4.235125541687012,4.37938117980957,0.1442556381225586
159,reviews,3.7798855304718018,3.76898193359375,-0.010903596878051758
160,paper,3.4379723072052,3.9659698009490967,0.5279974937438965
161,code,1.5895501375198364,1.732467532157898,0.14291739463806152
162,math,1.779603123664856,1.9051111936569214,0.12550806999206543
163,wiki,4.227474212646484,4.3646016120910645,0.13712739944458008
164,news,3.4052534103393555,3.5299484729766846,0.1246950626373291
165,reviews,4.353536605834961,4.469220161437988,0.11568355560302734
166,paper,3.452296018600464,3.945328950881958,0.49303293228149414
167,code,2.2149922847747803,2.2485756874084473,0.03358340263366699
168,math,1.6570498943328857,1.6960935592651367,0.03904366493225098
169,wiki,3.915198802947998,4.292340278625488,0.37714147567749023
170,news,4.71600866317749,4.823702812194824,0.10769414901733398
171,reviews,3.932774305343628,3.986825942993164,0.05405163764953613
172,paper,4.093940258026123,4.621999740600586,0.5280594825744629
173,code,2.246610641479492,2.3694934844970703,0.12288284301757812
174,math,1.9087557792663574,1.9548029899597168,0.046047210693359375
175,wiki,3.7887396812438965,4.226621150970459,0.4378814697265625
176,news,4.482677459716797,4.667619705200195,0.18494224548339844
177,reviews,3.233534336090088,3.2466907501220703,0.013156414031982422
178,paper,3.4404873847961426,3.810817241668701,0.3703298568725586
179,code,1.6687345504760742,1.673932671546936,0.005198121070861816
180,math,1.948854923248291,2.0441536903381348,0.09529876708984375
181,wiki,3.832876205444336,3.822011947631836,-0.0108642578125
182,news,4.643063068389893,4.686193466186523,0.04313039779663086
183,reviews,3.7929527759552,3.763692617416382,-0.02926015853881836
184,paper,3.551283836364746,4.170952320098877,0.6196684837341309
185,code,1.9351253509521484,2.099433422088623,0.1643080711364746
186,math,1.7502095699310303,1.922391414642334,0.1721818447113037
187,wiki,3.4545388221740723,3.6631672382354736,0.20862841606140137
188,news,3.744168281555176,3.8835203647613525,0.13935208320617676
189,reviews,3.719456434249878,3.729426145553589,0.009969711303710938
190,paper,3.3668057918548584,3.76002836227417,0.3932225704193115
191,code,2.0820558071136475,2.1266086101531982,0.04455280303955078
192,math,1.5114048719406128,1.5688973665237427,0.05749249458312988
193,wiki,3.5263686180114746,3.6540000438690186,0.12763142585754395
194,news,3.8755109310150146,4.125027179718018,0.24951624870300293
195,reviews,4.158560752868652,4.1122612953186035,-0.04629945755004883
196,paper,4.150754928588867,4.587088108062744,0.43633317947387695
197,code,1.7252509593963623,1.891908884048462,0.1666579246520996
198,math,1.879951000213623,2.064169406890869,0.1842184066772461
199,wiki,3.6272592544555664,3.82171630859375,0.1944570541381836
200,news,4.446773529052734,4.700409889221191,0.25363636016845703
201,reviews,3.715811252593994,3.730753183364868,0.014941930770874023
202,paper,3.7358479499816895,4.141315937042236,0.4054679870605469
203,code,1.1988481283187866,1.2795171737670898,0.08066904544830322
204,math,1.6874051094055176,1.8466248512268066,0.15921974182128906
205,wiki,3.295691728591919,3.3225698471069336,0.02687811851501465
206,news,3.7171239852905273,3.9649388790130615,0.24781489372253418
207,reviews,3.7218518257141113,3.7613525390625,0.03950071334838867
208,paper,3.044752597808838,3.442685127258301,0.3979325294494629
209,code,1.4077329635620117,1.4914370775222778,0.08370411396026611
210,math,1.330588936805725,1.4111573696136475,0.08056843280792236
211,wiki,3.231409788131714,3.5528228282928467,0.3214130401611328
212,news,3.438871145248413,3.552926778793335,0.11405563354492188
213,reviews,3.6857216358184814,3.783984661102295,0.09826302528381348
214,paper,3.5097784996032715,4.194967269897461,0.6851887702941895
215,code,1.2276815176010132,1.468627691268921,0.24094617366790771
216,math,1.9577627182006836,2.152083396911621,0.1943206787109375
217,wiki,2.655820608139038,2.794559955596924,0.13873934745788574
218,news,3.3199305534362793,3.4503462314605713,0.130415678024292
219,reviews,3.5079190731048584,3.636418581008911,0.12849950790405273
220,paper,3.851773977279663,4.323800563812256,0.4720265865325928
221,code,1.936640739440918,2.200369358062744,0.26372861862182617
222,math,2.0013554096221924,2.1567883491516113,0.15543293952941895
223,wiki,3.3449110984802246,3.730790853500366,0.3858797550201416
224,news,3.9825663566589355,4.242961883544922,0.26039552688598633
225,reviews,4.264710903167725,4.2696452140808105,0.0049343109130859375
226,paper,4.566030502319336,4.878626823425293,0.31259632110595703
227,code,1.4648796319961548,1.679654836654663,0.2147752046585083
228,math,1.6985028982162476,1.7682651281356812,0.0697622299194336
229,wiki,3.157543182373047,3.1788840293884277,0.02134084701538086
230,news,3.6417057514190674,3.9530029296875,0.3112971782684326
231,reviews,4.061814785003662,4.078821659088135,0.017006874084472656
232,paper,4.662843704223633,5.176328182220459,0.5134844779968262
233,code,1.739371418952942,1.9989557266235352,0.25958430767059326
234,math,2.055772304534912,2.1804537773132324,0.12468147277832031
235,wiki,3.2170515060424805,3.714935541152954,0.49788403511047363
236,news,3.3333940505981445,3.5005998611450195,0.167205810546875
237,reviews,4.09729528427124,4.1103129386901855,0.013017654418945312
238,paper,4.026086330413818,4.412531852722168,0.3864455223083496
239,code,1.1776212453842163,1.2511690855026245,0.0735478401184082
240,math,1.9012372493743896,2.0315988063812256,0.13036155700683594
241,wiki,2.898866891860962,2.863089084625244,-0.03577780723571777
242,news,3.198516607284546,3.2549195289611816,0.05640292167663574
243,reviews,3.844613552093506,3.9027719497680664,0.05815839767456055
244,paper,2.8995110988616943,2.924497604370117,0.02498650550842285
245,code,2.2328619956970215,2.4821739196777344,0.2493119239807129
246,math,1.3745986223220825,1.402812123298645,0.0282135009765625
247,wiki,3.746880054473877,3.9314401149749756,0.18456006050109863
248,news,3.3628885746002197,3.542400598526001,0.17951202392578125
249,reviews,4.141342639923096,4.145177841186523,0.0038352012634277344
250,paper,2.6213412284851074,2.650975227355957,0.02963399887084961
251,code,1.4965455532073975,1.5528250932693481,0.056279540061950684
252,math,2.499617099761963,2.7469587326049805,0.24734163284301758
253,wiki,3.6478843688964844,3.8966188430786133,0.2487344741821289
254,news,3.3827860355377197,3.5496883392333984,0.1669023036956787
255,reviews,3.96330189704895,3.984703779220581,0.02140188217163086
256,paper,3.515207052230835,3.636798858642578,0.12159180641174316
257,code,1.4938905239105225,1.6815065145492554,0.1876159906387329
258,math,2.3373653888702393,2.501314401626587,0.16394901275634766
259,wiki,3.576942205429077,3.5787882804870605,0.0018460750579833984
260,news,3.6920785903930664,3.9530632495880127,0.2609846591949463
261,reviews,3.6385350227355957,3.6721625328063965,0.03362751007080078
262,paper,4.10887336730957,4.388517379760742,0.2796440124511719
263,code,2.188152551651001,2.4899203777313232,0.30176782608032227
264,math,1.7615565061569214,1.8528804779052734,0.09132397174835205
265,wiki,3.462198495864868,3.5758719444274902,0.11367344856262207
266,news,3.2778689861297607,3.53480863571167,0.2569396495819092
267,reviews,3.847411870956421,3.9016406536102295,0.054228782653808594
268,paper,2.6280908584594727,2.7358224391937256,0.10773158073425293
269,code,1.9905147552490234,2.0965778827667236,0.1060631275177002
270,math,2.34652042388916,2.4947726726531982,0.14825224876403809
271,wiki,3.295485258102417,3.6236672401428223,0.3281819820404053
272,news,3.2567734718322754,3.4463305473327637,0.18955707550048828
273,reviews,3.708817720413208,3.744858503341675,0.0360407829284668
274,paper,2.5735011100769043,2.6373062133789062,0.06380510330200195
275,code,0.6571805477142334,0.791123628616333,0.1339430809020996
276,math,1.3221029043197632,1.4724236726760864,0.15032076835632324
277,wiki,3.0555007457733154,3.567427158355713,0.5119264125823975
278,news,3.1828293800354004,3.4122073650360107,0.22937798500061035
279,reviews,3.551229238510132,3.6428351402282715,0.09160590171813965
280,paper,3.4474401473999023,3.7427661418914795,0.29532599449157715
281,code,1.7889366149902344,1.9973222017288208,0.20838558673858643
282,math,1.423821210861206,1.463051676750183,0.03923046588897705
283,wiki,3.135800838470459,3.437838554382324,0.30203771591186523
284,news,3.4866015911102295,3.759747266769409,0.2731456756591797
285,reviews,3.6657121181488037,3.7551612854003906,0.08944916725158691
286,paper,4.018326759338379,4.5365729331970215,0.5182461738586426
287,code,1.4501789808273315,1.7341715097427368,0.2839925289154053
288,math,1.3321014642715454,1.3686927556991577,0.036591291427612305
289,wiki,3.255575180053711,3.826568126678467,0.5709929466247559
290,news,2.979236602783203,3.3048033714294434,0.32556676864624023
291,reviews,3.1797749996185303,3.1743788719177246,-0.005396127700805664
292,paper,4.250091075897217,4.5896830558776855,0.33959197998046875
293,code,1.467831015586853,1.7196602821350098,0.25182926654815674
294,math,1.7745064496994019,1.9508792161941528,0.17637276649475098
295,wiki,3.4956018924713135,4.741467475891113,1.2458655834197998
296,news,3.5026614665985107,3.6724328994750977,0.16977143287658691
297,reviews,3.217430830001831,3.2831714153289795,0.06574058532714844
298,paper,4.3377838134765625,4.683923244476318,0.34613943099975586
299,code,2.019181966781616,2.289018392562866,0.26983642578125
300,math,1.9811336994171143,2.1269421577453613,0.14580845832824707
301,wiki,3.2001867294311523,3.2321455478668213,0.031958818435668945
302,news,3.594918727874756,3.815051555633545,0.22013282775878906
303,reviews,3.836315870285034,3.8313848972320557,-0.004930973052978516
304,paper,4.720755100250244,5.141180515289307,0.4204254150390625
305,code,1.8710675239562988,2.158784866333008,0.287717342376709
306,math,1.281877875328064,1.391469120979309,0.10959124565124512
307,wiki,2.823964834213257,2.996999740600586,0.1730349063873291
308,news,4.006087303161621,4.231997489929199,0.22591018676757812
309,reviews,4.100199222564697,4.196598529815674,0.09639930725097656
310,paper,4.98049783706665,5.272010326385498,0.29151248931884766
311,code,1.224403977394104,1.2795815467834473,0.05517756938934326
312,math,1.919547438621521,2.065995454788208,0.146448016166687
313,wiki,2.7971394062042236,3.0009727478027344,0.20383334159851074
314,news,3.262054443359375,3.5501832962036133,0.2881288528442383
315,reviews,3.3044400215148926,3.3326640129089355,0.02822399139404297
316,paper,2.7881200313568115,3.3847522735595703,0.5966322422027588
317,code,1.9966810941696167,2.2679696083068848,0.27128851413726807
318,math,1.811086654663086,1.9610919952392578,0.15000534057617188
319,wiki,3.571575403213501,3.7449498176574707,0.17337441444396973
320,news,3.0502560138702393,3.367126941680908,0.31687092781066895
321,reviews,3.740847587585449,3.7879159450531006,0.04706835746765137
322,paper,2.8709514141082764,3.354214906692505,0.4832634925842285
323,code,1.8637948036193848,2.230940103530884,0.367145299911499
324,math,1.5867254734039307,1.6374789476394653,0.05075347423553467
325,wiki,3.7830286026000977,3.9909098148345947,0.20788121223449707
326,news,3.3509535789489746,3.7144968509674072,0.3635432720184326
327,reviews,3.3370180130004883,3.3760452270507812,0.03902721405029297
328,paper,4.040036201477051,4.479924201965332,0.43988800048828125
329,code,1.5625677108764648,1.7845311164855957,0.22196340560913086
330,math,1.8076159954071045,1.9632606506347656,0.15564465522766113
331,wiki,4.045969486236572,4.062481880187988,0.016512393951416016
332,news,2.913133144378662,3.1061575412750244,0.1930243968963623
333,reviews,3.9509716033935547,4.020045280456543,0.06907367706298828
334,paper,3.351372003555298,3.753263235092163,0.40189123153686523
335,code,2.1382551193237305,2.4769327640533447,0.33867764472961426
336,math,1.5464931726455688,1.7334073781967163,0.18691420555114746
337,wiki,3.6001126766204834,3.8310046195983887,0.23089194297790527
338,news,3.342777729034424,3.6977732181549072,0.3549954891204834
339,reviews,3.45648193359375,3.557643175125122,0.10116124153137207
340,paper,3.1017348766326904,3.523585081100464,0.42185020446777344
341,code,2.6234254837036133,3.0067665576934814,0.38334107398986816
342,math,1.9622690677642822,2.1504127979278564,0.18814373016357422
343,wiki,3.1670210361480713,3.3274800777435303,0.16045904159545898
344,news,3.7199020385742188,4.036087512969971,0.31618547439575195
345,reviews,3.6076319217681885,3.612060546875,0.0044286251068115234
346,paper,2.758164882659912,3.8532211780548096,1.0950562953948975
347,code,2.115987777709961,2.4730443954467773,0.3570566177368164
348,math,1.246277093887329,1.5325156450271606,0.28623855113983154
349,wiki,3.592707633972168,3.8477017879486084,0.25499415397644043
350,news,3.0959582328796387,3.4105913639068604,0.3146331310272217
351,reviews,3.275146961212158,3.3268024921417236,0.05165553092956543
352,paper,2.523749828338623,3.76080584526062,1.237056016921997
353,code,1.866042971611023,2.2823486328125,0.41630566120147705
354,math,1.496495008468628,1.5853917598724365,0.0888967514038086
355,wiki,3.156708240509033,3.3473572731018066,0.19064903259277344
356,news,3.0362839698791504,3.262098789215088,0.2258148193359375
357,reviews,3.8685944080352783,3.9035918712615967,0.03499746322631836
358,paper,2.1356394290924072,3.6604812145233154,1.5248417854309082
359,code,1.187070608139038,1.3117555379867554,0.12468492984771729
360,math,1.3897204399108887,1.5984957218170166,0.20877528190612793
361,wiki,3.7775566577911377,4.233334064483643,0.4557774066925049
362,news,3.1775002479553223,3.4735143184661865,0.29601407051086426
363,reviews,3.937731981277466,3.8988595008850098,-0.038872480392456055
364,paper,3.1741127967834473,3.129559278488159,-0.044553518295288086
365,code,1.8936225175857544,2.146134614944458,0.2525120973587036
366,math,1.611656665802002,1.7165006399154663,0.10484397411346436
367,wiki,3.4018661975860596,4.4459733963012695,1.04410719871521
368,news,3.081960678100586,3.483318567276001,0.40135788917541504
369,reviews,3.616112232208252,3.6595380306243896,0.043425798416137695
370,paper,4.766959190368652,5.270807266235352,0.5038480758666992
371,code,2.2853519916534424,2.5977962017059326,0.31244421005249023
372,math,1.345524549484253,1.47665536403656,0.13113081455230713
373,wiki,3.9738399982452393,5.1436767578125,1.1698367595672607
374,news,2.8546628952026367,3.0217905044555664,0.1671276092529297
375,reviews,3.8765299320220947,3.9582695960998535,0.08173966407775879
376,paper,4.011638641357422,4.438389301300049,0.42675065994262695
377,code,1.4898416996002197,1.7716624736785889,0.28182077407836914
378,math,1.9026676416397095,2.1570823192596436,0.2544146776199341
379,wiki,3.242112159729004,3.3681271076202393,0.12601494789123535
380,news,3.1389873027801514,3.3645095825195312,0.22552227973937988
381,reviews,4.462409973144531,4.49925422668457,0.03684425354003906
382,paper,3.7482268810272217,3.9608097076416016,0.21258282661437988
383,code,1.5960177183151245,1.751999855041504,0.1559821367263794
384,math,1.4285796880722046,1.5274540185928345,0.09887433052062988
385,wiki,3.4642062187194824,3.85710072517395,0.3928945064544678
386,news,3.527740001678467,3.8135926723480225,0.28585267066955566
387,reviews,3.6322579383850098,3.688673973083496,0.05641603469848633
388,paper,4.077138900756836,4.474099636077881,0.3969607353210449
389,code,1.7529308795928955,2.0763185024261475,0.32338762283325195
390,math,1.4940968751907349,1.7685327529907227,0.2744358777999878
391,wiki,3.2532589435577393,3.6107916831970215,0.3575327396392822
392,news,4.1774797439575195,4.22963285446167,0.05215311050415039
393,reviews,3.9770491123199463,4.0370025634765625,0.05995345115661621
394,paper,4.258609294891357,4.888067245483398,0.629457950592041
395,code,1.5554344654083252,1.915928840637207,0.36049437522888184
396,math,1.0521677732467651,1.2148545980453491,0.16268682479858398
397,wiki,3.053260564804077,3.2348215579986572,0.18156099319458008
398,news,4.180633068084717,4.2967963218688965,0.11616325378417969
399,reviews,3.3826780319213867,3.436373472213745,0.0536954402923584
400,paper,4.635895252227783,5.229675769805908,0.593780517578125
401,code,1.8312288522720337,2.197566509246826,0.3663376569747925
402,math,1.4944618940353394,1.7048561573028564,0.2103942632675171
403,wiki,3.2468833923339844,3.641008138656616,0.39412474632263184
404,news,4.299828052520752,4.378697872161865,0.07886981964111328
405,reviews,4.446104526519775,4.446660995483398,0.0005564689636230469
406,paper,3.81376576423645,4.414379596710205,0.6006138324737549
407,code,1.2446216344833374,1.6542409658432007,0.4096193313598633
408,math,1.550132393836975,1.7484267950057983,0.19829440116882324
409,wiki,3.245379686355591,3.4126176834106445,0.1672379970550537
410,news,3.4597432613372803,3.470639705657959,0.010896444320678711
411,reviews,3.9971654415130615,4.022609710693359,0.02544426918029785
412,paper,3.120272159576416,3.5471749305725098,0.42690277099609375
413,code,1.4780946969985962,1.5748215913772583,0.09672689437866211
414,math,1.5955358743667603,1.7104487419128418,0.11491286754608154
415,wiki,3.339049816131592,3.8987369537353516,0.5596871376037598
416,news,3.370299816131592,3.3759255409240723,0.005625724792480469
417,reviews,3.9081783294677734,3.973515510559082,0.0653371810913086
418,paper,3.865013837814331,4.361802101135254,0.49678826332092285
419,code,1.3155648708343506,1.6828432083129883,0.3672783374786377
420,math,1.8098405599594116,2.097431182861328,0.2875906229019165
421,wiki,2.974882125854492,2.9733450412750244,-0.0015370845794677734
422,news,3.8747024536132812,3.9593679904937744,0.08466553688049316
423,reviews,4.087529182434082,4.209701061248779,0.12217187881469727
424,paper,3.7458510398864746,4.427338600158691,0.6814875602722168
425,code,1.173337459564209,1.5623596906661987,0.38902223110198975
426,math,1.7265455722808838,1.8852753639221191,0.15872979164123535
427,wiki,2.732757806777954,3.058835029602051,0.3260772228240967
428,news,3.972248077392578,3.9569146633148193,-0.015333414077758789
429,reviews,3.5591397285461426,3.549886703491211,-0.00925302505493164
430,paper,3.5232861042022705,3.7695224285125732,0.24623632431030273
431,code,1.4843676090240479,1.8873603343963623,0.40299272537231445
432,math,1.4208883047103882,1.549286127090454,0.12839782238006592
433,wiki,3.234241485595703,3.5318603515625,0.2976188659667969
434,news,3.9898476600646973,4.107827663421631,0.1179800033569336
435,reviews,4.02644157409668,4.087648391723633,0.061206817626953125
436,paper,3.741429567337036,4.22328519821167,0.4818556308746338
437,code,1.225557565689087,1.4085975885391235,0.18304002285003662
438,math,1.9528968334197998,2.3079288005828857,0.35503196716308594
439,wiki,2.9794325828552246,3.459350109100342,0.4799175262451172
440,news,4.040748596191406,4.064545631408691,0.023797035217285156
441,reviews,3.7241647243499756,3.7907350063323975,0.06657028198242188
442,paper,3.21677565574646,3.570380687713623,0.3536050319671631
443,code,1.4153605699539185,1.5722733736038208,0.15691280364990234
444,math,1.423919439315796,1.5307066440582275,0.10678720474243164
445,wiki,2.9535958766937256,3.21152663230896,0.2579307556152344
446,news,3.685896396636963,3.8247110843658447,0.13881468772888184
447,reviews,3.6607420444488525,3.708606243133545,0.04786419868469238
448,paper,2.917320966720581,3.5520429611206055,0.6347219944000244
449,code,1.384250283241272,1.7618944644927979,0.3776441812515259
